time,co2,voc
2025-08-19 11:39:55.764,497.82,100.44
2025-08-19 11:39:56.765,497.82,100.44
2025-08-19 11:39:57.765,497.82,96.07
2025-08-19 11:39:58.767,497.82,96.07
2025-08-19 11:39:59.768,497.82,96.07
2025-08-19 11:40:00.769,497.82,96.07
2025-08-19 11:40:01.770,497.82,96.07
2025-08-19 11:40:02.772,497.82,96.07
2025-08-19 11:40:03.774,497.82,100.44
2025-08-19 11:40:04.775,497.82,100.44
2025-08-19 11:40:05.775,497.82,96.07
2025-08-19 11:40:06.776,497.82,96.07
2025-08-19 11:40:07.777,497.82,96.07
2025-08-19 11:40:08.779,497.82,96.07
2025-08-19 11:40:09.781,497.82,100.44
2025-08-19 11:40:10.782,497.82,100.44
2025-08-19 11:40:11.783,497.82,100.44
2025-08-19 11:40:12.784,497.82,100.44
2025-08-19 11:40:13.785,497.82,100.44
2025-08-19 11:40:14.785,497.82,96.07
2025-08-19 11:40:15.787,497.82,96.07
2025-08-19 11:40:16.788,497.82,96.07
2025-08-19 11:40:17.790,497.82,100.44
2025-08-19 11:40:18.790,497.82,100.44
2025-08-19 11:40:19.790,497.82,96.07
2025-08-19 11:40:20.791,497.82,96.07
2025-08-19 11:40:21.793,497.82,100.44
2025-08-19 11:40:22.793,497.82,96.07
2025-08-19 11:40:23.794,497.82,96.07
2025-08-19 11:40:24.796,497.82,96.07
2025-08-19 11:40:25.797,497.82,96.07
2025-08-19 11:40:26.798,497.82,96.07
2025-08-19 11:40:27.799,497.82,96.07
2025-08-19 11:40:28.800,497.82,96.07
2025-08-19 11:40:29.801,497.82,96.07
2025-08-19 11:40:30.802,497.82,96.07
2025-08-19 11:40:31.803,497.82,96.07
2025-08-19 11:40:32.804,497.82,96.07
2025-08-19 11:40:33.805,497.82,96.07
2025-08-19 11:40:34.806,497.82,96.07
2025-08-19 11:40:35.807,497.82,96.07
2025-08-19 11:40:36.809,497.82,100.44
2025-08-19 11:40:37.810,497.82,100.44
2025-08-19 11:40:38.810,497.82,96.07
2025-08-19 11:40:39.811,497.82,96.07
2025-08-19 11:40:40.812,497.82,96.07
2025-08-19 11:40:41.813,497.82,96.07
2025-08-19 11:40:42.815,497.82,100.44
2025-08-19 11:40:43.816,497.82,100.44
2025-08-19 11:40:44.817,497.82,100.44
2025-08-19 11:40:45.818,497.82,100.44
2025-08-19 11:40:46.819,497.82,100.44
2025-08-19 11:40:47.820,497.82,100.44
2025-08-19 11:40:48.821,497.82,100.44
2025-08-19 11:40:49.821,497.82,100.44
2025-08-19 11:40:50.821,497.82,96.07
2025-08-19 11:40:51.822,497.82,96.07
2025-08-19 11:40:52.823,497.82,96.07
2025-08-19 11:40:53.824,497.82,96.07
2025-08-19 11:40:54.826,497.82,96.07
2025-08-19 11:40:55.827,504.80,96.07
2025-08-19 11:40:56.828,504.80,96.07
2025-08-19 11:40:57.829,504.80,96.07
2025-08-19 11:40:58.830,504.80,96.07
2025-08-19 11:40:59.831,504.80,96.07
2025-08-19 11:41:00.832,504.80,96.07
2025-08-19 11:41:01.833,504.80,96.07
2025-08-19 11:41:02.834,504.80,96.07
2025-08-19 11:41:03.835,504.80,96.07
2025-08-19 11:41:04.837,504.80,96.07
2025-08-19 11:41:05.838,504.80,96.07
2025-08-19 11:41:06.839,504.80,96.07
2025-08-19 11:41:07.840,504.80,96.07
2025-08-19 11:41:08.841,504.80,96.07
2025-08-19 11:41:09.842,504.80,96.07
2025-08-19 11:41:10.843,504.80,96.07
2025-08-19 11:41:11.844,504.80,96.07
2025-08-19 11:41:12.845,504.80,96.07
2025-08-19 11:41:13.846,504.80,96.07
2025-08-19 11:41:14.847,504.80,96.07
2025-08-19 11:41:15.850,504.80,100.44
2025-08-19 11:41:16.850,504.80,104.80
2025-08-19 11:41:17.852,504.80,104.80
2025-08-19 11:41:18.852,504.80,100.44
2025-08-19 11:41:19.853,504.80,100.44
2025-08-19 11:41:20.854,504.80,100.44
2025-08-19 11:41:21.855,504.80,100.44
2025-08-19 11:41:22.857,504.80,100.44
2025-08-19 11:41:23.858,504.80,104.80
2025-08-19 11:41:24.859,504.80,104.80
2025-08-19 11:41:25.860,504.80,104.80
2025-08-19 11:41:26.861,504.80,100.44
2025-08-19 11:41:27.863,504.80,100.44
2025-08-19 11:41:28.864,504.80,100.44
2025-08-19 11:41:29.865,504.80,100.44
2025-08-19 11:41:30.865,504.80,96.07
2025-08-19 11:41:31.867,504.80,96.07
2025-08-19 11:41:32.868,504.80,96.07
2025-08-19 11:41:33.869,504.80,96.07
2025-08-19 11:41:34.870,504.80,96.07
2025-08-19 11:41:35.871,504.80,96.07
2025-08-19 11:41:36.872,504.80,96.07
2025-08-19 11:41:37.874,504.80,96.07
2025-08-19 11:41:38.875,504.80,96.07
2025-08-19 11:41:39.876,504.80,96.07
2025-08-19 11:41:40.877,504.80,96.07
2025-08-19 11:41:41.879,504.80,96.07
2025-08-19 11:41:42.880,504.80,96.07
2025-08-19 11:41:43.881,504.80,96.07
2025-08-19 11:41:44.883,504.80,96.07
2025-08-19 11:41:45.884,504.80,96.07
2025-08-19 11:41:46.886,504.80,96.07
2025-08-19 11:41:47.887,504.80,96.07
2025-08-19 11:41:48.888,504.80,96.07
2025-08-19 11:41:49.890,504.80,96.07
2025-08-19 11:41:50.891,504.80,96.07
2025-08-19 11:41:51.892,504.80,96.07
2025-08-19 11:41:52.893,504.80,96.07
2025-08-19 11:41:53.895,504.80,96.07
2025-08-19 11:41:54.896,504.80,96.07
2025-08-19 11:41:55.897,504.80,96.07
2025-08-19 11:41:56.899,504.80,96.07
2025-08-19 11:41:57.900,504.80,96.07
2025-08-19 11:41:58.901,504.80,96.07
2025-08-19 11:41:59.902,504.80,96.07
2025-08-19 11:42:00.904,504.80,96.07
2025-08-19 11:42:01.905,504.80,96.07
2025-08-19 11:42:02.906,504.80,96.07
2025-08-19 11:42:03.907,504.80,96.07
2025-08-19 11:42:04.908,504.80,96.07
2025-08-19 11:42:05.909,504.80,96.07
2025-08-19 11:42:06.910,504.80,96.07
2025-08-19 11:42:07.912,504.80,96.07
2025-08-19 11:42:08.913,504.80,96.07
2025-08-19 11:42:09.914,504.80,96.07
2025-08-19 11:42:10.915,504.80,96.07
2025-08-19 11:42:11.916,504.80,96.07
2025-08-19 11:42:12.918,504.80,96.07
2025-08-19 11:42:13.919,504.80,96.07
2025-08-19 11:42:14.920,504.80,96.07
2025-08-19 11:42:15.921,504.80,96.07
2025-08-19 11:42:16.922,504.80,96.07
2025-08-19 11:42:17.924,504.80,96.07
2025-08-19 11:42:18.925,504.80,96.07
2025-08-19 11:42:19.926,504.80,96.07
2025-08-19 11:42:20.927,504.80,96.07
2025-08-19 11:42:21.928,504.80,96.07
2025-08-19 11:42:22.929,504.80,96.07
2025-08-19 11:42:23.930,504.80,96.07
2025-08-19 11:42:24.931,504.80,96.07
2025-08-19 11:42:25.933,504.80,96.07
2025-08-19 11:42:26.934,504.80,96.07
2025-08-19 11:42:27.935,504.80,96.07
2025-08-19 11:42:28.936,504.80,96.07
2025-08-19 11:42:29.937,504.80,96.07
2025-08-19 11:42:30.938,504.80,96.07
2025-08-19 11:42:31.939,504.80,96.07
2025-08-19 11:42:32.941,504.80,100.44
2025-08-19 11:42:33.942,504.80,104.80
2025-08-19 11:42:34.943,504.80,104.80
2025-08-19 11:42:35.945,504.80,104.80
2025-08-19 11:42:36.946,504.80,109.17
2025-08-19 11:42:37.947,504.80,109.17
2025-08-19 11:42:38.948,504.80,109.17
2025-08-19 11:42:39.949,504.80,109.17
2025-08-19 11:42:40.950,504.80,109.17
2025-08-19 11:42:41.951,504.80,104.80
